Date,AAPL,GE,GOOG,IBM,MSFT
31-12-2009,26.19377136,10.53696346,308.832428,95.86219025,23.99079132
04-01-2010,26.60146904,10.75981903,312.2047729,96.99732971,24.36072731
05-01-2010,26.64745712,10.8155365,310.8299255,95.82558441,24.36859894
06-01-2010,26.22359657,10.75981903,302.9942932,95.20310211,24.21904564
07-01-2010,26.1751194,11.31696415,295.9407349,94.8735733,23.96717453
08-01-2010,26.34914017,11.56071472,299.8859558,95.82558441,24.13246918
11-01-2010,26.11670303,11.67214489,299.4326477,94.82228851,23.82549667
12-01-2010,25.81962395,11.67910862,294.1375122,95.57659912,23.66807365
13-01-2010,26.18382263,11.720891,292.448822,95.371521,23.88846397
14-01-2010,26.03217888,11.63035393,293.8236694,96.89480591,24.36859894
15-01-2010,25.59712601,11.44928551,288.9170532,96.50666046,24.28988647
19-01-2010,26.72949791,11.51892567,292.7128296,98.2349472,24.47879219
20-01-2010,26.31806564,11.49106979,289.1213074,95.38619232,24.07736588
21-01-2010,25.86312485,11.15678501,290.4014893,94.47079468,23.62085724
22-01-2010,24.58034897,11.21946335,273.9780579,91.9076004,22.79439545
25-01-2010,25.24162674,11.40053368,268.9917603,92.36165619,23.07775688
26-01-2010,25.5983696,11.38660622,270.1972351,92.09069061,23.21943092
27-01-2010,25.83951378,11.35178566,270.0378418,92.51544952,23.35324097
28-01-2010,24.77177429,11.25428295,266.1473999,90.62604523,22.95181465
29-01-2010,23.87308311,11.19857025,263.9805298,89.63007355,22.18046379
01-02-2010,24.20496178,11.31696415,265.5147705,91.29978943,22.36149406
02-02-2010,24.34542274,11.73482132,264.5683289,91.92959595,22.40084457
03-02-2010,24.76431656,11.61642647,269.4002075,92.02481079,22.53466034
04-02-2010,23.87184334,11.17071342,262.4064331,90.07678223,21.91285133
05-02-2010,24.29570389,10.99660587,264.6530151,90.45758057,22.05452728
08-02-2010,24.12914085,10.86428642,265.7389526,89.65579224,21.8183918
09-02-2010,24.38644409,10.86428642,267.2184143,90.63415527,22.04664993
10-02-2010,24.25344276,10.92696476,266.2271118,90.33988953,22.03091431
11-02-2010,24.69470787,10.98268032,267.1984863,91.01667786,22.13323784
12-02-2010,24.90726662,10.82946587,265.5646057,91.21523285,21.98368454
16-02-2010,25.28264427,11.17071342,269.6393127,92.12005615,22.41860962
17-02-2010,25.17699051,11.24732018,268.1000977,92.92925262,22.60839844
18-02-2010,25.224226,11.31000233,270.5957336,94.01795197,22.90889168
19-02-2010,25.06760979,11.26124859,269.3703308,93.56183624,22.75073624
22-02-2010,24.91223526,11.31696415,270.3865356,93.31174469,22.71911049
23-02-2010,24.49458504,11.10803413,266.5359497,93.02484131,22.40279579
24-02-2010,24.94206238,11.22642899,264.7426758,93.85608673,22.64003372
25-02-2010,25.10862732,11.15913773,262.2320862,93.47357178,22.61630821
26-02-2010,25.43429375,11.25727177,262.4164124,93.53980255,22.67166328
01-03-2010,25.97748756,11.14511585,265.3504028,94.57700348,22.94844055
02-03-2010,25.96008492,11.14511585,269.5197754,93.73104858,22.50559616
03-03-2010,26.01974297,11.23624134,271.6418152,93.33379364,22.50559616
04-03-2010,26.19128227,11.29231739,276.2595215,93.21611786,22.64003372
05-03-2010,27.21551132,11.46054363,281.0515442,93.60599518,22.60839844
08-03-2010,27.23167229,11.40447044,280.1897888,92.98806763,22.64003372
09-03-2010,27.72141838,11.55867577,279.0490417,92.35548401,22.77446556
10-03-2010,27.94764519,11.57269764,287.1486816,92.40694427,22.90889168
11-03-2010,28.02967644,11.55166912,289.4849243,93.8634491,23.07496071
12-03-2010,28.16641617,11.94420242,288.6879272,94.11355591,23.14612961
15-03-2010,27.82334137,12.11944008,280.5384827,94.03265381,23.16195107
16-03-2010,27.8991642,12.66618538,281.5447083,94.65058136,23.225214
17-03-2010,27.85815239,12.64515305,281.7240295,93.98114777,23.43080521
18-03-2010,27.92402458,12.75029659,282.1424561,94.43725586,23.41499138
19-03-2010,27.6257019,12.66618538,278.9544067,93.94437408,23.39917946
22-03-2010,27.93645287,12.66618538,277.7090759,94.14295959,23.40708733
23-03-2010,28.38517952,12.84842682,273.4749451,95.16548157,23.62850952
24-03-2010,28.51072121,12.93254089,277.6243896,94.54756927,23.44662857
25-03-2010,28.17262459,12.8273983,280.3890381,95.06985474,23.73131371
26-03-2010,28.70090103,12.85543919,280.2944031,95.08455658,23.45453453
29-03-2010,28.88610458,12.89749718,280.1748352,94.59170532,23.39917946
30-03-2010,29.3161869,12.8273983,282.296875,94.72409058,23.54152489
31-03-2010,29.21053123,12.7573061,282.5011292,94.34159088,23.16195107
01-04-2010,29.33110428,12.84842682,283.3379822,94.34159088,23.05914307
05-04-2010,29.64433479,12.98862171,284.4388428,95.15077972,23.14612961
06-04-2010,29.77485085,13.03768539,283.0490723,94.84182739,23.18567276
07-04-2010,29.90661049,12.96758747,280.717804,94.51080322,23.20938873
08-04-2010,29.82581711,13.00964642,282.6854248,93.87081909,23.66013908
09-04-2010,30.05452538,12.98160934,282.0527954,94.71674347,23.9922657
12-04-2010,30.11667633,13.11479092,285.2956543,94.4225235,23.97644806
13-04-2010,30.13408089,13.2830162,292.2894287,94.91536713,24.07924843
14-04-2010,30.5392971,13.56339741,293.4002686,96.5484314,24.37184334
15-04-2010,30.94078827,13.66854,296.5385132,96.28359222,24.41137695
16-04-2010,30.75185204,13.29703903,274.0477905,96.09234619,24.25322723
19-04-2010,30.71083641,13.27601433,274.0228882,97.26928711,24.54581261
20-04-2010,30.40256691,13.31806469,276.4836731,95.40089417,24.79886055
21-04-2010,32.22107315,13.33909321,276.1150513,94.88594818,24.77513504
22-04-2010,33.1222496,13.2830162,272.5085754,94.98892975,24.82258415
23-04-2010,33.66420364,13.36712837,271.4774475,95.6215744,24.48255157
26-04-2010,33.49889374,13.52834892,264.8273621,96.16588593,24.60116768
27-04-2010,32.57159805,13.10777855,263.5421753,94.76091003,24.39556313
28-04-2010,32.51691437,13.2830162,263.6069336,95.70246887,24.4430027
29-04-2010,33.39198685,13.66153049,265.0066833,95.96728516,24.51417732
30-04-2010,32.45352554,13.2199316,261.8684387,94.89331055,24.15042305
03-05-2010,33.10734177,13.5003109,264.3092957,95.33466339,24.40346909
04-05-2010,32.15395355,13.02366543,252.2395477,94.24598694,23.82620811
05-05-2010,31.81959534,12.68721199,253.9282074,93.76047516,23.60478973
06-05-2010,30.60890388,12.13345432,248.4039154,91.62366486,22.91680908
07-05-2010,29.3174305,11.83205128,245.6492462,90.27799988,22.30790901
10-05-2010,31.57098961,12.64515305,259.8510132,93.36120605,22.88517761
11-05-2010,31.88546753,12.61711311,253.5745392,93.8196106,22.83772659
12-05-2010,32.57782364,12.92553329,251.7513733,98.10061646,23.28056717
13-05-2010,32.11418152,12.65216064,254.4861298,97.21338654,23.12240982
14-05-2010,31.54986382,12.36476898,252.8173828,96.99894714,22.87726974
17-05-2010,31.59958649,12.30869961,253.0365601,96.44441986,22.88517761
18-05-2010,31.36837196,12.0773859,248.2544861,96.08211517,22.71835899
19-05-2010,30.86869812,12.09840775,246.2918396,95.27619934,22.43239403
20-05-2010,29.55360794,11.39745903,236.618103,91.53495026,21.53478241
21-05-2010,30.1204052,11.50961208,235.143631,92.73275757,21.32030487
24-05-2010,30.67229843,11.22222328,237.6890869,92.01554108,20.86753273
25-05-2010,30.48088837,11.18016529,237.6442566,92.067276,20.7086544
26-05-2010,30.34291077,11.22222328,236.8472443,91.1135025,19.86664772
27-05-2010,31.49143982,11.67784023,244.3142548,93.44993591,20.6530571
28-05-2010,31.93022156,11.46054363,241.9082642,92.61444855,20.4941864
01-06-2010,32.42120361,11.20119381,240.2843628,91.93421173,20.56567955
02-06-2010,32.809021,11.46054363,245.7638245,94.20410919,21.01845741
03-06-2010,32.70585251,11.53063965,251.8559875,94.61076355,21.33619499
04-06-2010,31.81585884,11.01193619,248.428833,92.62922668,20.48624039
07-06-2010,31.19187355,10.80165005,241.8534698,91.77893066,20.08906746
08-06-2010,30.99175072,10.8507185,241.484848,91.47579956,19.94608688
09-06-2010,30.22979164,10.73856449,236.124939,91.60887909,19.69189835
10-06-2010,31.13843155,10.99090862,242.5956879,94.40372467,19.85870171
11-06-2010,31.51132393,10.90679264,243.3379059,94.97306061,20.38297081
14-06-2010,31.60704422,10.7876339,240.6928253,95.01004791,20.25588608
15-06-2010,32.27949905,11.06801319,248.0651855,95.96380615,21.11378098
16-06-2010,33.21920776,11.11007214,249.6990662,96.37786865,20.90724945
17-06-2010,33.79347992,11.22578907,249.1062927,96.84367371,20.94695854
18-06-2010,34.06693268,11.2540102,249.0813751,96.23000336,21.00256538
21-06-2010,33.58217239,11.35984802,243.3677979,96.59968567,20.61334229
22-06-2010,34.03959274,11.14111614,242.2171173,95.60152435,20.47035408
23-06-2010,33.68159866,10.85888386,240.1249542,96.20040131,20.10495758
24-06-2010,33.43673325,10.64015293,236.6629333,94.78079987,19.85870171
25-06-2010,33.15084457,10.52020645,235.4574432,93.98966217,19.48536491
28-06-2010,33.34973145,10.5837059,235.1585693,95.36492157,19.31061172
29-06-2010,31.84196663,10.21680355,226.2818451,92.48875427,18.51626396
30-06-2010,31.26521873,10.17446995,221.6442261,91.29833984,18.27795601
